Номер заказа;Дата заказа;Название товара;Категория товара;Количество продаж;Цена за единицу;Общая стоимость
1;01.05.2024;Ноутбук Acer;Электроника;2;60000;120000
2;02.05.2024;Смартфон Samsung;Электроника;5;30000;150000
3;03.05.2024;Кофеварка Bosch;Бытовая техника;3;7000;21000
4;04.05.2024;Холодильник LG;Бытовая техника;1;45000;45000
5;05.05.2024;Телевизор Sony;Электроника;2;55000;110000
6;06.05.2024;Микроволновка Panasonic;Бытовая техника;4;8000;32000
7;07.05.2024;Клавиатура Logitech;Компьютерные аксессуары;11;3000;33000
8;08.05.2024;Мышь Razer;Компьютерные аксессуары;7;5000;35000
9;09.05.2024;Принтер HP;Офисная техника;2;15000;30000
10;10.05.2024;Планшет Apple;Электроника;3;60000;180000
11;11.05.2024;Стиральная машина Samsung;Бытовая техника;1;50000;50000
12;12.05.2024;Внешний жесткий диск Seagate;Компьютерные аксессуары;5;8000;40000
13;13.05.2024;Чайник Philips;Бытовая техника;8;3000;24000
14;14.05.2024;Монитор Dell;Электроника;2;25000;50000
15;15.05.2024;Смарт-часы Garmin;Электроника;4;20000;80000
16;16.05.2024;Пылесос Dyson;Бытовая техника;1;45000;45000
17;17.05.2024;Роутер TP-Link;Офисная техника;6;4000;24000
18;18.05.2024;Веб-камера Logitech;Компьютерные аксессуары;5;7000;35000
19;19.05.2024;Настольная лампа Xiaomi;Бытовая техника;10;1500;15000
20;20.05.2024;Проектор Epson;Офисная техника;1;60000;60000
